-8wQV7VJnmM 30.000 40.000 -8wQV7VJnmM_30.000 "Happy music"
-FlvaZQOr2I 90.000 100.000 -FlvaZQOr2I_90.000 "Scary music"
-jpbCWcz2pk 30.000 40.000 -jpbCWcz2pk_30.000 "Happy music"
-mA_bqD1tgU 30.000 40.000 -mA_bqD1tgU_30.000 "Happy music"
-o0ZtQIkM60 30.000 40.000 -o0ZtQIkM60_30.000 "Scary music"
-r7iz-9v9bA 30.000 40.000 -r7iz-9v9bA_30.000 "Scary music"
-sRFfU8k0Zs 90.000 100.000 -sRFfU8k0Zs_90.000 "Scary music"
0298WjE3_tk 20.000 30.000 0298WjE3_tk_20.000 "Angry music"
0RpkkfkUBRU 10.000 20.000 0RpkkfkUBRU_10.000 "Angry music"
0ZXWSO_Y2C0 160.000 170.000 0ZXWSO_Y2C0_160.000 "Angry music"
0khKvVDyYV4 240.000 250.000 0khKvVDyYV4_240.000 "Happy music"
0lIETNZ_7sg 30.000 40.000 0lIETNZ_7sg_30.000 "Happy music"
0rNr_qnoPQ4 30.000 40.000 0rNr_qnoPQ4_30.000 "Happy music"
0vm7UpkSOnk 30.000 40.000 0vm7UpkSOnk_30.000 "Happy music"
1-dMI6S5rLs 21.000 31.000 1-dMI6S5rLs_21.000 "Happy music"
11fNNN95_og 30.000 40.000 11fNNN95_og_30.000 "Angry music"
16F5fdORzSo 30.000 40.000 16F5fdORzSo_30.000 "Sad music"
1ArUx6UCxe4 30.000 40.000 1ArUx6UCxe4_30.000 "Scary music"
1FnT0RrfMEA 30.000 40.000 1FnT0RrfMEA_30.000 "Sad music"
1IK4OeOqAEo 30.000 40.000 1IK4OeOqAEo_30.000 "Sad music"
1O4LpU7HggY 30.000 40.000 1O4LpU7HggY_30.000 "Happy music"
1Rd1w7Ty1ak 160.000 170.000 1Rd1w7Ty1ak_160.000 "Happy music"
1YPYQP6yupA 30.000 40.000 1YPYQP6yupA_30.000 "Sad music"
2JNY2SaMk7s 30.000 40.000 2JNY2SaMk7s_30.000 "Happy music"
2M-CFCo-rkY 30.000 40.000 2M-CFCo-rkY_30.000 "Sad music"
2ctgUIqyaBk 20.000 30.000 2ctgUIqyaBk_20.000 "Happy music"
2y1QnNBaxAU 30.000 40.000 2y1QnNBaxAU_30.000 "Sad music"
2zrPFxxT1VM 30.000 40.000 2zrPFxxT1VM_30.000 "Happy music"
3Bqu2Y8RZq4 30.000 40.000 3Bqu2Y8RZq4_30.000 "Happy music"
3C-5_z01Olc 30.000 40.000 3C-5_z01Olc_30.000 "Happy music"
3IYd8cCmUkQ 60.000 70.000 3IYd8cCmUkQ_60.000 "Happy music"
3PuzzYmTDA4 70.000 80.000 3PuzzYmTDA4_70.000 "Sad music"
3VEMHWnewuc 10.000 20.000 3VEMHWnewuc_10.000 "Happy music"
3ZhyXbwFQAM 200.000 210.000 3ZhyXbwFQAM_200.000 "Angry music"
3gh1oldZ7Zc 30.000 40.000 3gh1oldZ7Zc_30.000 "Sad music"
3xFqT_fegTo 30.000 40.000 3xFqT_fegTo_30.000 "Sad music"
49QX74Gad8w 20.000 30.000 49QX74Gad8w_20.000 "Sad music"
4HhJneiP-hY 0.000 10.000 4HhJneiP-hY_0.000 "Scary music"
4QJktFv916o 170.000 180.000 4QJktFv916o_170.000 "Angry music"
55vMO5LzMHM 30.000 40.000 55vMO5LzMHM_30.000 "Scary music"
5DI6iLp1aO8 100.000 110.000 5DI6iLp1aO8_100.000 "Scary music"
5DNl3DX4rr0 520.000 530.000 5DNl3DX4rr0_520.000 "Angry music"
5Gy3kuhnJNE 50.000 60.000 5Gy3kuhnJNE_50.000 "Angry music"
5ieMy-PAKA0 120.000 130.000 5ieMy-PAKA0_120.000 "Sad music"
6Mbj6Rt0CBs 220.000 230.000 6Mbj6Rt0CBs_220.000 "Angry music"
7J6U-HE3Lko 100.000 110.000 7J6U-HE3Lko_100.000 "Angry music"
7RtQpW2dSU4 10.000 20.000 7RtQpW2dSU4_10.000 "Happy music"
7YtKrL6ScXA 30.000 40.000 7YtKrL6ScXA_30.000 "Sad music"
7eZTmLV9gcY 30.000 40.000 7eZTmLV9gcY_30.000 "Sad music"
7h6nTyP7d9o 590.000 600.000 7h6nTyP7d9o_590.000 "Scary music"
7oX8vXI8oW8 140.000 150.000 7oX8vXI8oW8_140.000 "Angry music"
7qaDquMlJzY 30.000 40.000 7qaDquMlJzY_30.000 "Happy music"
8Yt55huZGZc 30.000 40.000 8Yt55huZGZc_30.000 "Happy music"
91AmOKytRUM 0.000 10.000 91AmOKytRUM_0.000 "Sad music"
9GRNQKSsbvU 30.000 40.000 9GRNQKSsbvU_30.000 "Sad music"
9MX842-iIuU 30.000 40.000 9MX842-iIuU_30.000 "Happy music"
9QYo50tFm6w 30.000 40.000 9QYo50tFm6w_30.000 "Happy music"
9uToez74x_M 30.000 40.000 9uToez74x_M_30.000 "Happy music"
9zmQwBUFwd4 0.000 10.000 9zmQwBUFwd4_0.000 "Happy music"
A-7dmBdsFXc 70.000 80.000 A-7dmBdsFXc_70.000 "Scary music"
AHmcuClSTL4 100.000 110.000 AHmcuClSTL4_100.000 "Angry music"
AJROvxlmo40 570.000 580.000 AJROvxlmo40_570.000 "Scary music"
AgJH6Ul1EFg 130.000 140.000 AgJH6Ul1EFg_130.000 "Sad music"
B7ZNC8h8Mmw 130.000 140.000 B7ZNC8h8Mmw_130.000 "Scary music"
BscoQHJrNm8 170.000 180.000 BscoQHJrNm8_170.000 "Angry music"
BtdzVnXZ0i4 30.000 40.000 BtdzVnXZ0i4_30.000 "Sad music"
BzM0qok5Cns 30.000 40.000 BzM0qok5Cns_30.000 "Happy music"
CnTMm-bzssM 310.000 320.000 CnTMm-bzssM_310.000 "Sad music"
CoPqrU3ddrE 0.000 10.000 CoPqrU3ddrE_0.000 "Scary music"
Cy3HWnwMLyI 20.000 30.000 Cy3HWnwMLyI_20.000 "Scary music"
DC0C-KO9EJk 100.000 110.000 DC0C-KO9EJk_100.000 "Angry music"
DgVpK6r7JT4 280.000 290.000 DgVpK6r7JT4_280.000 "Scary music"
E2gstPe3Im4 20.000 30.000 E2gstPe3Im4_20.000 "Scary music"
ELNUIG4rgao 140.000 150.000 ELNUIG4rgao_140.000 "Angry music"
E_34BmDVnOI 180.000 190.000 E_34BmDVnOI_180.000 "Scary music"
EremEyLrdUY 170.000 180.000 EremEyLrdUY_170.000 "Happy music"
FTdcanPJw6E 70.000 80.000 FTdcanPJw6E_70.000 "Angry music"
GAoGADilmV8 450.000 460.000 GAoGADilmV8_450.000 "Scary music"
HOkuea1wExA 30.000 40.000 HOkuea1wExA_30.000 "Sad music"
HZJGb67aTnw 50.000 60.000 HZJGb67aTnw_50.000 "Scary music"
